traits_name	trait_name	intensity
Cuddlerfish Traits	Balanced	1
Cuddlerfish Traits	Fish	2
Aqua Symbol Traits	Corporeality	1
Aqua Symbol Traits	Age	2
Aqua Symbol Traits	Body Type 1	40
Aqua Symbol Traits	Ability To Fly	1
Aqua Symbol Traits	Underwater	6
Aqua Symbol Traits	Wetness Affinity	1
Aqua Symbol Traits	Heat Tolerance	-1
Aqua Symbol Traits	Magical	1
Aqua Symbol Traits	Aquamancy	1
Slicefin Traits	Corporeality	1
Slicefin Traits	Age	3
Slicefin Traits	Body Type 1	14
Slicefin Traits	Ability To Fly	2
Slicefin Traits	Underwater	6
Slicefin Traits	Wetness Affinity	2
Slicefin Traits	Heat Tolerance	-2
Slicefin Traits	Strong	1
Slicefin Traits	Physical	2
Slicefin Traits	Fish	3
Snugglerfish Traits	Corporeality	1
Snugglerfish Traits	Age	3
Snugglerfish Traits	Body Type 1	14
Snugglerfish Traits	Ability To Fly	2
Snugglerfish Traits	Underwater	6
Snugglerfish Traits	Wetness Affinity	2
Snugglerfish Traits	Heat Tolerance	-1
Snugglerfish Traits	Balanced	2
Snugglerfish Traits	Connection	1
Snugglerfish Traits	Fish	3
Torquoise Traits	Corporeality	1
Torquoise Traits	Age	3
Torquoise Traits	Body Type 1	38
Torquoise Traits	Ability To Fly	2
Torquoise Traits	Underwater	6
Torquoise Traits	Heat Tolerance	-1
Torquoise Traits	Hardy	1
Torquoise Traits	Rich	1
Torquoise Traits	Balanced	1
Torquoise Traits	Magical	1
Torquoise Traits	Aquamancy	1
Torquoise Traits	Elemental Stone	1
Aqua Elemental Triats	Corporeality	1
Aqua Elemental Triats	Age	3
Aqua Elemental Triats	Body Type 1	40
Aqua Elemental Triats	Ability To Fly	2
Aqua Elemental Triats	Underwater	6
Aqua Elemental Triats	Heat Tolerance	-2
Aqua Elemental Triats	Strong	-1
Aqua Elemental Triats	Wise	1
Aqua Elemental Triats	Magical	2
Aqua Elemental Triats	Aquamancy	2
Aqua Elemental Triats	Aeromancy	1
Aqua Elemental Triats	Luxormancy	1
Blue Dragon Traits	Corporeality	1
Blue Dragon Traits	Age	4
Blue Dragon Traits	Body Type 1	12
Blue Dragon Traits	Body Type 2	14
Blue Dragon Traits	Ability To Fly	5
Blue Dragon Traits	Underwater	6
Blue Dragon Traits	Wetness Affinity	3
Blue Dragon Traits	Heat Tolerance	-2
Blue Dragon Traits	Strong	2
Blue Dragon Traits	Hardy	1
Blue Dragon Traits	Physical	3
Blue Dragon Traits	Fish	4
Leviathan Traits	Corporeality	1
Leviathan Traits	Age	4
Leviathan Traits	Body Type 1	14
Leviathan Traits	Ability To Fly	5
Leviathan Traits	Underwater	6
Leviathan Traits	Wetness Affinity	3
Leviathan Traits	Heat Tolerance	-2
Leviathan Traits	Fast	-1
Leviathan Traits	Hardy	1
Leviathan Traits	Balanced	3
Leviathan Traits	Fish	4
Sapphire Traits	Corporeality	1
Sapphire Traits	Age	4
Sapphire Traits	Body Type 1	17
Sapphire Traits	Ability To Fly	3
Sapphire Traits	Underwater	6
Sapphire Traits	Heat Tolerance	-2
Sapphire Traits	Hardy	2
Sapphire Traits	Rich	2
Sapphire Traits	Balanced	2
Sapphire Traits	Magical	2
Sapphire Traits	Aquamancy	2
Sapphire Traits	Elemental Stone	2
Primordial Aqua Elemental Traits	Corporeality	1
Primordial Aqua Elemental Traits	Age	4
Primordial Aqua Elemental Traits	Body Type 1	40
Primordial Aqua Elemental Traits	Ability To Fly	3
Primordial Aqua Elemental Traits	Underwater	6
Primordial Aqua Elemental Traits	Heat Tolerance	-2
Primordial Aqua Elemental Traits	Strong	-2
Primordial Aqua Elemental Traits	Wise	3
Primordial Aqua Elemental Traits	Magical	3
Primordial Aqua Elemental Traits	Pyromancy	1
Primordial Aqua Elemental Traits	Aquamancy	3
Primordial Aqua Elemental Traits	Terramancy	1
Primordial Aqua Elemental Traits	Aeromancy	1
Primordial Aqua Elemental Traits	Luxormancy	1
Primordial Aqua Elemental Traits	Umbramacy	1
Tapple Traits	Corporeality	1
Tapple Traits	Age	1
Tapple Traits	Body Type 1	14
Tapple Traits	Body Type 2	16
Tapple Traits	Ability To Fly	1
Tapple Traits	Underwater	6
Tapple Traits	Wetness Affinity	1
Tapple Traits	Fish	1
Hider Traits	Corporeality	1
Hider Traits	Age	2
Hider Traits	Body Type 1	42
Hider Traits	Ability To Fly	2
Hider Traits	Underwater	6
Hider Traits	Fast	-2
Hider Traits	Hardy	2
Hider Traits	Physical	1
Hider Traits	Fish	1
Rainbow Frog Traits	Corporeality	1
Rainbow Frog Traits	Age	2
Rainbow Frog Traits	Body Type 1	16
Rainbow Frog Traits	Ability To Fly	1
Rainbow Frog Traits	Underwater	6
Rainbow Frog Traits	Wetness Affinity	2
Rainbow Frog Traits	Balanced	1
Rainbow Frog Traits	Fish	1
Rainbow Frog Traits	Random Rainbow	1
Frogami Traits	Corporeality	1
Frogami Traits	Age	2
Frogami Traits	Body Type 1	16
Frogami Traits	Ability To Fly	0
Frogami Traits	Underwater	6
Frogami Traits	Wetness Affinity	2
Frogami Traits	Rich	-1
Frogami Traits	Magical	1
Frogami Traits	Fish	1
Snapper Traits	Corporeality	1
Snapper Traits	Age	3
Snapper Traits	Body Type 1	42
Snapper Traits	Ability To Fly	3
Snapper Traits	Underwater	6
Snapper Traits	Strong	1
Snapper Traits	Wise	-1
Snapper Traits	Fast	-3
Snapper Traits	Hardy	3
Snapper Traits	Physical	2
Snapper Traits	Fish	1
Fraugaudy Traits	Corporeality	1
Fraugaudy Traits	Age	3
Fraugaudy Traits	Body Type 1	16
Fraugaudy Traits	Ability To Fly	1
Fraugaudy Traits	Underwater	6
Fraugaudy Traits	Wetness Affinity	3
Fraugaudy Traits	Balanced	2
Fraugaudy Traits	Fish	1
Fraugaudy Traits	Random Rainbow	2
Esotoad Traits	Corporeality	1
Esotoad Traits	Age	3
Esotoad Traits	Body Type 1	16
Esotoad Traits	Ability To Fly	0
Esotoad Traits	Underwater	6
Esotoad Traits	Wetness Affinity	3
Esotoad Traits	Strong	-1
Esotoad Traits	Wise	1
Esotoad Traits	Rich	-2
Esotoad Traits	Magical	2
Esotoad Traits	Aquamancy	1
Esotoad Traits	Terramancy	1
Esotoad Traits	Fish	1
Crushller Traits	Corporeality	1
Crushller Traits	Age	4
Crushller Traits	Body Type 1	42
Crushller Traits	Ability To Fly	5
Crushller Traits	Underwater	6
Crushller Traits	Strong	3
Crushller Traits	Wise	-3
Crushller Traits	Fast	-4
Crushller Traits	Hardy	4
Crushller Traits	Physical	3
Crushller Traits	Fish	1
Frogealer Traits	Corporeality	1
Frogealer Traits	Age	4
Frogealer Traits	Body Type 1	16
Frogealer Traits	Ability To Fly	1
Frogealer Traits	Underwater	6
Frogealer Traits	Wetness Affinity	4
Frogealer Traits	Balanced	3
Frogealer Traits	Fish	1
Frogealer Traits	Random Rainbow	3
Metitode Traits	Corporeality	1
Metitode Traits	Age	4
Metitode Traits	Body Type 1	16
Metitode Traits	Ability To Fly	0
Metitode Traits	Underwater	6
Metitode Traits	Wetness Affinity	4
Metitode Traits	Strong	-3
Metitode Traits	Wise	2
Metitode Traits	Rich	-3
Metitode Traits	Magical	3
Metitode Traits	Aquamancy	2
Metitode Traits	Terramancy	2
Metitode Traits	Fish	1
Cirrus Traits	Corporeality	3
Cirrus Traits	Age	1
Cirrus Traits	Body Type 1	8
Cirrus Traits	Ability To Fly	0
Cirrus Traits	Underwater	0
Cirrus Traits	Cloudy	1
Cumulus Traits	Corporeality	3
Cumulus Traits	Age	2
Cumulus Traits	Body Type 1	8
Cumulus Traits	Ability To Fly	-1
Cumulus Traits	Underwater	0
Cumulus Traits	Physical	1
Cumulus Traits	Cloudy	2
Stratus Traits	Corporeality	3
Stratus Traits	Age	2
Stratus Traits	Body Type 1	8
